Year,Period,Trade Flow,Reporter,Reporter ISO,Partner,Customs,Mode of Transport,Commodity Code,Commodity,Trade_value,FOB Trade Value (US$)
2017,2017,X,Albania,ALB,World,All CPCs,All MOTs,TOTAL,All Commodities,2301340965 ,2301340966
2017,2017,X,Algeria,DZA,World,All CPCs,All MOTs,TOTAL,All Commodities,35191117416 ,35191117416
2017,2017,X,Andorra,AND,World,All CPCs,All MOTs,TOTAL,All Commodities,117965611 ,117965611.8
2017,2017,X,Angola,AGO,World,All CPCs,All MOTs,TOTAL,All Commodities,34904881109 ,34904881109
2017,2017,X,Antigua and Barbuda,ATG,World,All CPCs,All MOTs,TOTAL,All Commodities,62390602 ,62390602.71
2017,2017,X,Azerbaijan,AZE,World,All CPCs,All MOTs,TOTAL,All Commodities,15306018304 ,15306018304
2017,2017,X,Argentina,ARG,World,All CPCs,All MOTs,TOTAL,All Commodities,58384194969 ,58384194969
2017,2017,X,Australia,AUS,World,All CPCs,All MOTs,TOTAL,All Commodities,230000000000 ,2.30E+11
2018,2018,X,Afghanistan,AFG,World,All CPCs,All MOTs,TOTAL,All Commodities,884504496 ,884504496.4
2018,2018,X,Albania,ALB,World,All CPCs,All MOTs,TOTAL,All Commodities,2875859778 ,2875859779
2018,2018,X,Andorra,AND,World,All CPCs,All MOTs,TOTAL,All Commodities,129448151 ,129448151
2018,2018,X,Angola,AGO,World,All CPCs,All MOTs,TOTAL,All Commodities,42096736310 ,42096736311
2018,2018,X,Antigua and Barbuda,ATG,World,All CPCs,All MOTs,TOTAL,All Commodities,25841081 ,25841081.56
2018,2018,X,Azerbaijan,AZE,World,All CPCs,All MOTs,TOTAL,All Commodities,19489068203 ,19489068204
2018,2018,X,Argentina,ARG,World,All CPCs,All MOTs,TOTAL,All Commodities,61558357420 ,61558357421
2018,2018,X,Australia,AUS,World,All CPCs,All MOTs,TOTAL,All Commodities,253000000000 ,2.53E+11
2017,2017,X,Austria,AUT,World,All CPCs,All MOTs,TOTAL,All Commodities,160000000000 ,1.60E+11
2018,2018,X,Austria,AUT,World,All CPCs,All MOTs,TOTAL,All Commodities,177000000000 ,1.77E+11
2017,2017,X,Bahamas,BHS,World,All CPCs,All MOTs,TOTAL,All Commodities,473322277 ,473322277.1
2017,2017,X,Bahrain,BHR,World,All CPCs,All MOTs,TOTAL,All Commodities,12485359226 ,12485359227
2017,2017,X,Armenia,ARM,World,All CPCs,All MOTs,TOTAL,All Commodities,2144962969 ,2144962970
2017,2017,X,Barbados,BRB,World,All CPCs,All MOTs,TOTAL,All Commodities,485387947 ,485387947.5
2017,2017,X,Belgium,BEL,World,All CPCs,All MOTs,TOTAL,All Commodities,430000000000 ,4.30E+11
2018,2018,X,Bahamas,BHS,World,All CPCs,All MOTs,TOTAL,All Commodities,524192922 ,524192922.2
2018,2018,X,Bahrain,BHR,World,All CPCs,All MOTs,TOTAL,All Commodities,14347737494 ,14347737494
2018,2018,X,Armenia,ARM,World,All CPCs,All MOTs,TOTAL,All Commodities,2381707084 ,2381707085
2018,2018,X,Barbados,BRB,World,All CPCs,All MOTs,TOTAL,All Commodities,457709750 ,457709750.5
2018,2018,X,Belgium,BEL,World,All CPCs,All MOTs,TOTAL,All Commodities,469000000000 ,4.69E+11
2017,2017,X,Bermuda,BMU,World,All CPCs,All MOTs,TOTAL,All Commodities,11742165 ,11742165.67
2017,2017,X,Bolivia (Plurinational State of),BOL,World,All CPCs,All MOTs,TOTAL,All Commodities,8338057378 ,8338057379
2017,2017,X,Bosnia Herzegovina,BIH,World,All CPCs,All MOTs,TOTAL,All Commodities,6367922271 ,6367922272
2017,2017,X,Botswana,BWA,World,All CPCs,All MOTs,TOTAL,All Commodities,5954788785 ,5954788786
2017,2017,X,Brazil,BRA,World,All CPCs,All MOTs,TOTAL,All Commodities,218000000000 ,2.18E+11
2017,2017,X,Belize,BLZ,World,All CPCs,All MOTs,TOTAL,All Commodities,277584960 ,277584960.1
2017,2017,X,Solomon Isds,SLB,World,All CPCs,All MOTs,TOTAL,All Commodities,499714683 ,499714683.5
2017,2017,X,Brunei Darussalam,BRN,World,All CPCs,All MOTs,TOTAL,All Commodities,5570575213 ,5570575214
2018,2018,X,Bermuda,BMU,World,All CPCs,All MOTs,TOTAL,All Commodities,22912424 ,22912424.54
2018,2018,X,Bolivia (Plurinational State of),BOL,World,All CPCs,All MOTs,TOTAL,All Commodities,9064737435 ,9064737435
2018,2018,X,Bosnia Herzegovina,BIH,World,All CPCs,All MOTs,TOTAL,All Commodities,7182096317 ,7182096318
2018,2018,X,Botswana,BWA,World,All CPCs,All MOTs,TOTAL,All Commodities,6122376817 ,6122376818
2018,2018,X,Brazil,BRA,World,All CPCs,All MOTs,TOTAL,All Commodities,240000000000 ,2.40E+11
2018,2018,X,Belize,BLZ,World,All CPCs,All MOTs,TOTAL,All Commodities,243303973 ,243303973.2
2018,2018,X,Solomon Isds,SLB,World,All CPCs,All MOTs,TOTAL,All Commodities,569112008 ,569112008.5
2018,2018,X,Brunei Darussalam,BRN,World,All CPCs,All MOTs,TOTAL,All Commodities,6573636942 ,6573636943
2017,2017,X,Bulgaria,BGR,World,All CPCs,All MOTs,TOTAL,All Commodities,31588418276 ,31588418276
2017,2017,X,Myanmar,MMR,World,All CPCs,All MOTs,TOTAL,All Commodities,13878764485 ,13878764485
2017,2017,X,Burundi,BDI,World,All CPCs,All MOTs,TOTAL,All Commodities,149406437 ,149406437.5
2017,2017,X,Belarus,BLR,World,All CPCs,All MOTs,TOTAL,All Commodities,29239993900 ,29239993900
2017,2017,X,Cambodia,KHM,World,All CPCs,All MOTs,TOTAL,All Commodities,11278127964 ,11278127964
2017,2017,X,Cameroon,CMR,World,All CPCs,All MOTs,TOTAL,All Commodities,3264185171 ,3264185172
2018,2018,X,Bulgaria,BGR,World,All CPCs,All MOTs,TOTAL,All Commodities,33787143989 ,33787143990
2018,2018,X,Myanmar,MMR,World,All CPCs,All MOTs,TOTAL,All Commodities,16694858193 ,16694858193
2018,2018,X,Burundi,BDI,World,All CPCs,All MOTs,TOTAL,All Commodities,169071156 ,169071156.8
2018,2018,X,Belarus,BLR,World,All CPCs,All MOTs,TOTAL,All Commodities,33726141400 ,33726141400
2018,2018,X,Cambodia,KHM,World,All CPCs,All MOTs,TOTAL,All Commodities,12700279675 ,12700279676
2017,2017,X,Canada,CAN,World,All CPCs,All MOTs,TOTAL,All Commodities,421000000000 ,4.21E+11
2017,2017,X,Cabo Verde,CPV,World,All CPCs,All MOTs,TOTAL,All Commodities,49935302 ,49935302.54
2017,2017,X,Central African Rep.,CAF,World,All CPCs,All MOTs,TOTAL,All Commodities,196990937 ,196990937.2
2017,2017,X,Sri Lanka,LKA,World,All CPCs,All MOTs,TOTAL,All Commodities,11741036786 ,11741036786
2018,2018,X,Canada,CAN,World,All CPCs,All MOTs,TOTAL,All Commodities,449000000000 ,4.49E+11
2018,2018,X,Cabo Verde,CPV,World,All CPCs,All MOTs,TOTAL,All Commodities,75270566 ,75270566.06
2018,2018,X,Central African Rep.,CAF,World,All CPCs,All MOTs,TOTAL,All Commodities,54264098 ,54264098
2017,2017,X,Chile,CHL,World,All CPCs,All MOTs,TOTAL,All Commodities,69229257332 ,69229257333
2017,2017,X,China,CHN,World,All CPCs,All MOTs,TOTAL,All Commodities,2260000000000 ,2.26E+12
2018,2018,X,Chile,CHL,World,All CPCs,All MOTs,TOTAL,All Commodities,75481713821 ,75481713822
2018,2018,X,China,CHN,World,All CPCs,All MOTs,TOTAL,All Commodities,2490000000000 ,2.49E+12
2017,2017,X,Colombia,COL,World,All CPCs,All MOTs,TOTAL,All Commodities,37766321060 ,37766321060
2017,2017,X,Comoros,COM,World,All CPCs,All MOTs,TOTAL,All Commodities,38411838 ,38411838.71
2017,2017,X,Congo,COG,World,All CPCs,All MOTs,TOTAL,All Commodities,8251984388 ,8251984388
2017,2017,X,Dem. Rep. of the Congo,COD,World,All CPCs,All MOTs,TOTAL,All Commodities,12295708443 ,12295708444
2017,2017,X,Costa Rica,CRI,World,All CPCs,All MOTs,TOTAL,All Commodities,11296640428 ,11296640429
2017,2017,X,Croatia,HRV,World,All CPCs,All MOTs,TOTAL,All Commodities,15770990558 ,15770990558
2017,2017,X,Cyprus,CYP,World,All CPCs,All MOTs,TOTAL,All Commodities,3360377370 ,3360377370
2018,2018,X,Colombia,COL,World,All CPCs,All MOTs,TOTAL,All Commodities,41831520220 ,41831520221
2018,2018,X,Comoros,COM,World,All CPCs,All MOTs,TOTAL,All Commodities,46214060 ,46214060.65
2018,2018,X,Congo,COG,World,All CPCs,All MOTs,TOTAL,All Commodities,11155029324 ,11155029325
2018,2018,X,Dem. Rep. of the Congo,COD,World,All CPCs,All MOTs,TOTAL,All Commodities,20004284687 ,20004284687
2018,2018,X,Costa Rica,CRI,World,All CPCs,All MOTs,TOTAL,All Commodities,11251781448 ,11251781448
2018,2018,X,Croatia,HRV,World,All CPCs,All MOTs,TOTAL,All Commodities,17210469290 ,17210469290
2018,2018,X,Cyprus,CYP,World,All CPCs,All MOTs,TOTAL,All Commodities,5065369407 ,5065369407
2017,2017,X,Czechia,CZE,World,All CPCs,All MOTs,TOTAL,All Commodities,182000000000 ,1.82E+11
2017,2017,X,Benin,BEN,World,All CPCs,All MOTs,TOTAL,All Commodities,726264608 ,726264608.7
2017,2017,X,Denmark,DNK,World,All CPCs,All MOTs,TOTAL,All Commodities,101000000000 ,1.01E+11
2017,2017,X,Dominican Rep.,DOM,World,All CPCs,All MOTs,TOTAL,All Commodities,8855644902 ,8855644902
