Year,Period,Trade Flow,Reporter,Reporter ISO,Partner,Customs,Mode of Transport,Commodity Code,Commodity,Trade_value,CIF Trade Value (US$),FOB Trade Value (US$)
2015,2015,M,Kiribati,KIR,World,All CPCs,All MOTs,TOTAL,All Commodities,110729035 ,110729035.9,103454846.6
2016,2016,M,Kiribati,KIR,World,All CPCs,All MOTs,TOTAL,All Commodities,117408350 ,117408350,
2016,2016,M,Sao Tome and Principe,STP,World,All CPCs,All MOTs,TOTAL,All Commodities,139352022 ,139352022,
2015,2015,M,Sao Tome and Principe,STP,World,All CPCs,All MOTs,TOTAL,All Commodities,141847245 ,141847245,
2017,2017,M,Sao Tome and Principe,STP,World,All CPCs,All MOTs,TOTAL,All Commodities,147049579 ,147049579.3,
2019,2019,M,Sao Tome and Principe,STP,World,All CPCs,All MOTs,TOTAL,All Commodities,147666945 ,147666945.4,
2018,2018,M,Sao Tome and Principe,STP,World,All CPCs,All MOTs,TOTAL,All Commodities,148305957 ,148305957,
2015,2015,M,Palau,PLW,World,All CPCs,All MOTs,TOTAL,All Commodities,150315857 ,150315857,
2016,2016,M,Palau,PLW,World,All CPCs,All MOTs,TOTAL,All Commodities,153508450 ,153508450,
2018,2018,M,Palau,PLW,World,All CPCs,All MOTs,TOTAL,All Commodities,154412826 ,,154412826.7
2017,2017,M,Palau,PLW,World,All CPCs,All MOTs,TOTAL,All Commodities,157813256 ,,157813256.8
2015,2015,M,Comoros,COM,World,All CPCs,All MOTs,TOTAL,All Commodities,173435745 ,173435745.8,
2016,2016,M,Comoros,COM,World,All CPCs,All MOTs,TOTAL,All Commodities,196288951 ,196288951.6,
2019,2019,M,Comoros,COM,World,All CPCs,All MOTs,TOTAL,All Commodities,201191155 ,201191155.5,
2017,2017,M,Comoros,COM,World,All CPCs,All MOTs,TOTAL,All Commodities,209132422 ,209132422.2,
2018,2018,M,Comoros,COM,World,All CPCs,All MOTs,TOTAL,All Commodities,229710910 ,229710910.8,
2015,2015,M,Saint Kitts and Nevis,KNA,World,All CPCs,All MOTs,TOTAL,All Commodities,297068669 ,297068669.8,
2017,2017,M,Saint Kitts and Nevis,KNA,World,All CPCs,All MOTs,TOTAL,All Commodities,308946849 ,308946849.5,
2017,2017,M,Saint Vincent and the Grenadines,VCT,World,All CPCs,All MOTs,TOTAL,All Commodities,329952436 ,329952436.7,
2015,2015,M,Saint Vincent and the Grenadines,VCT,World,All CPCs,All MOTs,TOTAL,All Commodities,333671111 ,333671111.3,
2016,2016,M,Saint Kitts and Nevis,KNA,World,All CPCs,All MOTs,TOTAL,All Commodities,333779255 ,333779255.8,
2016,2016,M,Saint Vincent and the Grenadines,VCT,World,All CPCs,All MOTs,TOTAL,All Commodities,334767433 ,334767433.1,
2019,2019,M,Saint Vincent and the Grenadines,VCT,World,All CPCs,All MOTs,TOTAL,All Commodities,335230895 ,335230895.7,
2016,2016,M,Samoa,WSM,World,All CPCs,All MOTs,TOTAL,All Commodities,349840565 ,349840565,
2018,2018,M,Saint Vincent and the Grenadines,VCT,World,All CPCs,All MOTs,TOTAL,All Commodities,353627074 ,353627074.3,
2017,2017,M,Samoa,WSM,World,All CPCs,All MOTs,TOTAL,All Commodities,356189844 ,356189844.9,
2018,2018,M,Samoa,WSM,World,All CPCs,All MOTs,TOTAL,All Commodities,362883715 ,362883715.5,
2016,2016,M,Gambia,GMB,World,All CPCs,All MOTs,TOTAL,All Commodities,366403726 ,366403726.5,
2015,2015,M,Samoa,WSM,World,All CPCs,All MOTs,TOTAL,All Commodities,370582374 ,370582374,
2018,2018,M,Central African Rep.,CAF,World,All CPCs,All MOTs,TOTAL,All Commodities,384386438 ,384386438,
2019,2019,M,Samoa,WSM,World,All CPCs,All MOTs,TOTAL,All Commodities,390681506 ,390681506,
2015,2015,M,Gambia,GMB,World,All CPCs,All MOTs,TOTAL,All Commodities,391476421 ,391476421.8,
2016,2016,M,Central African Rep.,CAF,World,All CPCs,All MOTs,TOTAL,All Commodities,401319710 ,401319710,
2017,2017,M,Central African Rep.,CAF,World,All CPCs,All MOTs,TOTAL,All Commodities,418721339 ,418721339.4,
